threshold	merge_dist	min_width	num_peaks_tss_overlap_plus	num_peaks_tss_overlap_minus	num_peaks_plus	num_peaks_minus	plus_positive_overlap	plus_negative_overlap	minus_positive_overlap	minus_negative_overlap
1.61	3	20	565	576	853	855	457	108	456	120
1.62	3	20	557	568	839	856	454	103	454	114
1.63	3	20	552	562	837	848	452	100	451	111
1.64	3	20	545	549	824	834	446	99	442	107
1.65	3	20	540	545	810	829	442	98	439	106
1.66	3	20	537	543	805	823	439	98	439	104
1.67	3	20	535	538	802	823	436	99	434	104
1.68	3	20	533	531	797	808	434	99	430	101
1.69	3	20	531	522	783	802	433	98	425	97
1.7	3	20	524	512	770	791	429	95	420	92
1.71	3	20	524	504	766	781	427	97	416	88
1.72	3	20	520	501	759	777	424	96	413	88
1.73	3	20	513	500	749	776	420	93	411	89
1.74	3	20	507	490	739	751	414	93	408	82
1.75	3	20	500	484	730	734	409	91	404	80
1.76	3	20	493	478	721	732	403	90	400	78
1.77	3	20	490	474	721	724	401	89	397	77
1.78	3	20	491	470	720	717	401	90	394	76
1.79	3	20	485	465	718	715	399	86	392	73
1.8	3	20	480	461	715	708	396	84	389	72
1.81	3	20	473	459	708	705	389	84	387	72
1.82	3	20	467	455	708	701	388	79	383	72
1.83	3	20	468	453	705	695	388	80	380	73
1.84	3	20	464	454	706	693	387	77	381	73
1.85	3	20	460	448	704	689	383	77	377	71
1.86	3	20	456	445	690	678	381	75	376	69
1.87	3	20	453	444	685	671	378	75	375	69
1.88	3	20	452	442	672	668	378	74	373	69
1.89	3	20	447	439	672	656	374	73	370	69
1.9	3	20	443	434	665	653	370	73	366	68
1.91	3	20	441	435	658	650	369	72	365	70
1.92	3	20	438	429	651	643	365	73	359	70
1.93	3	20	438	425	653	644	362	76	356	69
1.94	3	20	432	423	644	631	358	74	353	70
1.95	3	20	429	421	639	621	357	72	351	70
1.96	3	20	424	421	630	624	355	69	350	71
1.97	3	20	416	418	621	627	351	65	349	69
1.98	3	20	408	412	618	623	344	64	346	66
