seq527	2.329645e-01
seq1443	1.000000e+00
seq749	8.826078e-01
seq1615	9.809853e-01
seq1719	9.788266e-01
seq84	1.000000e+00
seq964	6.089045e-01
seq1628	1.000000e+00
seq1006	1.000000e+00
seq832	7.284120e-03
seq1743	1.000000e+00
seq826	9.486423e-01
seq1233	7.090989e-01
seq1042	1.000000e+00
seq188	9.084857e-01
seq1635	1.000000e+00
seq447	1.000000e+00
seq77	7.841525e-01
seq595	3.659178e-01
seq1730	1.860230e-01
seq1611	9.718956e-01
seq1254	6.999966e-01
seq1159	1.000000e+00
seq1798	7.847303e-01
seq1185	2.259109e-01
seq1280	1.000000e+00
seq983	1.000000e+00
seq1072	1.000000e+00
seq522	7.348981e-01
seq266	4.977936e-01
seq1735	6.379657e-01
seq1625	7.184450e-01
seq1243	8.644671e-01
seq1431	1.000000e+00
seq45	7.320499e-01
seq859	1.000000e+00
seq1362	1.000000e+00
seq389	6.864957e-01
seq571	9.716987e-01
seq416	9.063059e-01
seq256	6.548361e-01
seq743	7.583204e-01
seq741	5.464337e-01
seq660	8.038111e-01
seq273	8.922833e-01
seq248	7.457532e-01
seq1792	1.000000e+00
seq1822	8.826140e-01
seq475	5.051173e-01
seq1529	7.489874e-01
seq82	8.329230e-01
seq788	1.000000e+00
seq1422	8.445504e-01
seq217	2.200989e-01
seq997	5.629908e-01
seq367	1.000000e+00
seq227	8.249094e-01
seq1337	8.160738e-01
seq1587	1.000000e+00
seq664	1.000000e+00
seq1178	9.355888e-01
seq168	8.329875e-01
seq680	6.299295e-01
seq486	1.093597e-01
seq1440	6.546779e-01
seq793	9.899700e-01
seq1430	4.249515e-01
seq1434	9.564775e-01
seq1401	1.000000e+00
seq775	9.568857e-01
seq1329	8.418350e-01
seq1108	1.000000e+00
seq1250	5.540285e-01
seq2	1.000000e+00
seq836	9.285940e-01
seq387	6.641057e-01
seq667	6.821722e-01
seq1075	1.000000e+00
seq617	1.000000e+00
seq195	8.703075e-01
seq427	8.937265e-01
