seq929	-0.99988	1	0
seq2545	 0.03599	1	2
seq1320	-1.00037	1	2
seq2849	-0.93692	1	2
seq3034	-0.01229	1	1
seq147	-0.99298	1	2
seq1703	-0.09760	1	4
seq2876	-0.99997	1	3
seq1777	-0.99954	1	0
seq1471	-0.96145	1	2
seq3081	-0.36173	1	3
seq1459	-1.00014	1	4
seq2180	-0.08820	1	1
seq1842	-0.99999	1	2
seq331	-1.00018	1	4
seq2893	-0.90963	1	2
seq791	-0.99991	1	0
seq136	-0.94951	1	3
seq1053	-0.01390	1	3
seq3064	-0.21413	1	4
seq2855	 0.01893	1	2
seq2223	-1.00006	1	4
seq2055	-0.99201	1	3
seq3188	 0.07817	1	3
seq2102	-0.11213	1	0
seq2271	-0.99972	1	3
seq1743	-1.00004	1	1
seq1903	-1.00028	1	2
seq926	-0.97406	1	2
seq471	-0.99972	1	0
seq3219	-0.04856	1	3
seq2886	 0.06885	1	1
seq2209	-0.03987	1	4
seq2543	-0.91508	1	3
seq79	-0.11241	1	1
seq1527	-0.91731	1	2
seq2422	 0.02027	1	4
seq691	-1.00025	1	4
seq1016	-1.00025	1	4
seq739	-0.00434	1	1
seq456	 0.09719	1	4
seq1322	-0.92942	1	1
seq1319	-1.00021	1	1
seq1176	-0.12842	1	2
seq486	-0.96860	1	2
seq442	-0.94350	1	1
seq742	-0.89359	1	4
seq1483	 0.03527	1	0
seq847	-1.00015	1	1
seq2728	-0.06992	1	0
seq146	-0.98014	1	3
seq1406	-1.00030	1	0
seq2539	-0.25951	1	3
seq388	-0.90495	1	4
seq1782	-1.00007	1	1
seq656	-0.98759	1	3
seq405	-0.08339	1	4
seq2390	-0.01532	1	3
seq2839	 0.10538	1	2
seq1188	-0.99723	1	1
seq2108	-0.99960	1	1
seq301	-0.06480	1	3
seq1217	 0.06274	1	0
seq869	-0.38786	1	0
seq2579	-0.78989	1	1
seq1420	-0.99949	1	0
seq2563	-0.99994	1	3
seq2569	 0.11771	1	2
seq2511	-0.97111	1	4
seq1390	-0.99956	1	1
seq2384	 0.01637	1	3
seq1988	-0.99758	1	4
seq2243	-1.00038	1	3
seq2	-0.92212	1	3
seq1500	-0.99978	1	1
seq695	-0.99995	1	3
seq1198	-0.00587	1	1
seq1932	-0.95839	1	3
seq1109	 0.10294	1	4
seq351	-0.05412	1	4
seq768	 0.10941	1	3
seq2104	-0.00765	1	4
seq1315	-0.05823	1	2
seq2480	-0.99989	1	2
seq324	 0.00805	1	2
seq1368	 0.00071	1	4
seq3096	-0.99999	1	3
seq2806	-0.14418	1	2
seq2785	-0.96093	1	2
seq550	-0.71336	1	4
seq411	-0.99286	1	2
seq2050	-0.09228	1	0
seq1078	-0.02111	1	2
seq2060	-0.01400	1	4
seq1005	-0.93571	1	1
seq589	-0.06163	1	1
seq2451	 0.04185	1	0
seq294	-0.97931	1	3
seq1462	 0.08135	1	2
seq1602	-1.00010	1	0
seq1878	-0.16165	1	3
seq1042	-0.99988	1	2
seq1528	-0.89224	1	2
seq2984	 0.02286	1	4
seq1510	-0.87988	1	0
seq2782	-0.00438	1	4
seq2856	-0.93301	1	1
seq1901	 0.00882	1	3
seq1282	-0.90916	1	4
seq459	-0.72469	1	1
seq2918	-0.99999	1	2
seq940	-0.99384	1	4
seq190	-0.98960	1	4
seq2954	-0.46295	1	3
seq2245	-0.99962	1	0
seq444	-0.91068	1	3
seq1710	-0.99969	1	3
seq2970	-0.99992	1	3
seq1822	-0.99989	1	2
seq1259	-0.99981	1	1
seq2015	-0.02960	1	1
seq995	-0.99977	1	2
seq957	-0.99977	1	1
seq683	-0.01207	1	1
seq1148	 0.13590	1	0
seq3056	-0.97374	1	1
seq479	-0.90348	1	1
seq283	-1.00002	1	1
seq441	-0.02332	1	4
seq2140	-0.94296	1	4
seq1920	-0.16301	1	1
seq2762	-1.00022	1	2
seq2085	-0.94504	1	3
seq2282	 0.09183	1	1
seq1613	-0.95748	1	1
seq2042	 0.03032	1	4
seq2542	 0.00847	1	0
seq2432	-0.00840	1	3
seq3029	-0.47025	1	1
seq1358	-0.93562	1	3
seq963	-0.52536	1	1
seq1265	-0.01672	1	3
seq33	-0.21172	1	4
seq568	 0.00345	1	2
seq2600	-1.00040	1	3
seq713	-0.04992	1	3
seq738	 0.08389	1	3
seq237	-1.00013	1	0
seq758	 0.03888	1	2
seq2255	-0.99998	1	3
seq2610	-0.93698	1	1
seq1532	-1.00037	1	4
seq1194	-0.95333	1	0
seq759	 0.07301	1	0
seq342	 0.00349	1	0
seq1199	 0.11445	1	1
seq1758	-0.95366	1	0
seq667	-0.81945	1	3
seq1366	-0.95488	1	0
seq670	-1.00002	1	4
seq1542	-0.85758	1	3
seq1086	-0.99968	1	1
seq1994	-0.99995	1	1
seq1149	-0.99570	1	2
seq1090	 0.00343	1	3
seq1636	-0.02943	1	1
seq2268	-0.13179	1	1
seq678	 0.26411	1	1
seq1264	-0.02336	1	3
seq814	-0.99977	1	4
seq1928	-0.95284	1	1
seq563	 0.01429	1	0
seq2641	-1.00004	1	1
seq3143	-0.99973	1	0
seq3094	-0.99873	1	3
seq1888	-0.99999	1	1
seq1137	 0.47063	1	3
seq1618	-0.90846	1	3
seq2669	-0.08848	1	4
seq1775	 0.03470	1	3
seq2561	-0.99950	1	1
seq953	-0.01926	1	2
seq2159	-0.99997	1	2
seq808	 0.04732	1	4
seq1810	-0.90373	1	4
